text,aspect,sentiment
"results of the sunlight study #gi23 for 3rd line therapy in colorectal cancer using longsurf &amp; bevacizumab demonstrated superior os, pfs compared to ftp/tpi alone. no differences based on kras mutation status or tumor location. 3% patients from na pr # ",bevacizumab,positive
 discussing presentations of SUNLIGHT and . #gi23 ,SUNLIGHT,neutral
dr. deming discussant on ph iii sunlight #tas102 + bev superior to active control tas102 (median os 10.8 vs 7.5 mos) in unselected #3l+ met #crcsm new reference standard in refractory #mcrc #gi23 ,SUNLIGHT,positive
". presents a very nice summary of treatment options for conventionally refractory, mss mcrc at #gi23, describing sunlight as a new soc combining tas-102 &amp; bev #crcsm ",SUNLIGHT,positive
congrats by new data from sunlight reported at #gi23: patients with previously treated mcrpc receiving ftd/tpi+bevacizumab experienced extended os compared to those receiving ftd/tpi (10.8 mo vs 7.5 mo) with no significant safety issues ,ftd/tpi+bevacizumab,positive
"dustin a. deming, md discussing the 2 abstracts presented earlier. #gi23 sunlight trial practice changing? yes!! ",SUNLIGHT,positive
"sunlight study #gi23 for 3rd line therapy in colorectal cancer using longsurf &amp; bevacizumab demonstrated superior os, pfs compared to ftp/tpi alone. no response differences based on kras mutation status or tumor location #colorectalcancer #crcsm ",bevacizumab,positive
gi asco 2023: new scoop: sunlight results are very clear: trifluridine/tipiracil+bevacizumab much better than trifluridine/tipiracil alone in 3rd line treatment of metastatic colorectal cancer....,SUNLIGHT,positive
gi asco 2023: new scoop: sunlight results are very clear: trifluridine/tipiracil+bevacizumab much better than trifluridine/tipiracil alone in 3rd line treatment of metastatic colorectal cancer....,trifluridine/tipiracil+bevacizumab,positive
"results of the sunlight study #gi23 for 3rd line therapy in colorectal cancer using longsurf &amp; bevacizumab demonstrated superior os, pfs compared to ftp/tpi alone. no response differences based on kras mutation status or tumor location #colorectalcancer ",SUNLIGHT,neutral
"results of the sunlight study #gi23 for 3rd line therapy in colorectal cancer using longsurf &amp; bevacizumab demonstrated superior os, pfs compared to ftp/tpi alone. no response differences based on kras mutation status or tumor location #colorectalcancer ",bevacizumab,positive
exciting new soc ftd/tpi/+bev for mcrc longer os +pfs and improved disease control #lonsurf #crc #colorectalcancer #gi23 ,ftd/tpi/+bev,positive
confirming the efficacy of already widely utilized combination SUNLIGHT in clinic for refractory metastatic colon cancer #gi23 #coloncancer ,SUNLIGHT,positive
great news for #coloncancer at #gi23 with sunlight trial. adding bevacizumab to tas-102 increases mos from 7.5 to 10.8 months. ,SUNLIGHT,positive
sunlight study showed that lonsurfbev improves os regardless of prior bev treatment in metastatic crc! as a patient what is key here is that improvements in survival occurred in all clinical relevant subgroup! #gi23 #crcsm ,SUNLIGHT,positive
sunlight study showed that lonsurfbev improves os regardless of prior bev treatment in metastatic crc! as a patient what is key here is that improvements in survival occurred in all clinical relevant subgroup! #gi23 #crcsm ,lonsurfbev,positive
sunlight study supports our practices for using lonsurf and avastin. improved os and pfs in 3rd line for mcrc.#gi23 ,SUNLIGHT,positive
sunlight study supports our practices for using lonsurf and avastin. improved os and pfs in 3rd line for mcrc.#gi23 ,lonsurf,positive
sunlight study supports our practices for using lonsurf and avastin. improved os and pfs in 3rd line for mcrc.#gi23 ,avastin,positive
SUNLIGHT more practice confirming than practice changing and very reassuring to see. tas-102+bev better than tas-102 alone for refractory mcrc. both os and pfs significantly improved and clinically relevant. #gi23 ,SUNLIGHT,positive
SUNLIGHT more practice confirming than practice changing and very reassuring to see. tas-102+bev better than tas-102 alone for refractory mcrc. both os and pfs significantly improved and clinically relevant. #gi23 ,tas-102+bev,positive
wait. the sunlight trial has maybe some of the most positive results i've seen at this conference #gi23,SUNLIGHT,positive
dr. presenting exciting results from the sunlight study. a new standard of care! #gi23 ,SUNLIGHT,positive
"ftd/tpi plus bevacizumab resulted in significantly longer os and pfs and improved disease
#gi23 ",bevacizumab,positive
"the sunlight trial of lonsurf +/- bev in refractory mcrc, presented by , met its primary endpoint with improved os by 3.3 months and improvement in qol endoints as well. a new soc #gi23 ",SUNLIGHT,positive
"trifluridine/tipiracil plus bevacizumab for third-line treatment of refractory metastatic colorectal cancer: the phase 3 randomized sunlight study.
talk from dr. tabernero #gi23 ",SUNLIGHT,neutral
 sunlight: lonsurf+bev improves os regardless of prior bev treatment. a new standard of care but we still have a long way to go for crc. #gi23 ,SUNLIGHT,positive
 sunlight: lonsurf+bev improves os regardless of prior bev treatment. a new standard of care but we still have a long way to go for crc. #gi23 ,lonsurf+bev,positive
" trifluridine/tipiracil plus bevacizumab for third-line treatment of refractory metastatic colorectal cancer: @ asco-gi 2023 sunlight phs-iii, 492 pts, 75% prior bev mos 10.8 vs 7.5 mo mpfs 5.6 vs 2.4 mo proof for cont. anti-angiogenesis in #crc ",SUNLIGHT,neutral
#sunlight study refractory #crc #gi23 3/4 of patients recieved previously bev clear os benefit for ftd/tpi + bev group ,SUNLIGHT,positive
#gi23 #ascogi23 phase iii sunlight trial of lonsurf +/- bev os by 3.3m validating prior phase ii data #cancer #cancerresearch #clinicaltrials #crcsm ,SUNLIGHT,neutral
 sunlight!!! trifluridine/tipiracil + bev &gt; trifluridine/tipiracil in 3rd line metastatic #colorectalcancer mos benefit of 3.3 months (hr 0.61) is actually huge! bev beyond progression (76% prior anti-vegf) #crcsm #gi23 ,bev,positive
"#gi23: data from the phase 3 sunlight study, presented by vhio s director point to trifluridine/tipiracil plus bevacizumab as practice-changing care for 3rd line treatment of refractory metastatic colorectal cancer. ",SUNLIGHT,positive
breaking news: #gi23 for mcrc patients on 3rd line treatment. showed os increase with lonsurf and bevacizumab compared to lonsurf alone. congrats to and more importantly to patients and their families. ,SUNLIGHT,positive
nuestro granito de arena en #gi23: effect of tabernero's prognostic subgroups or development of neutropenia on survival outcomes of patients with refractory metastatic colorectal cancer (mcrc) treated with trifluridine/tipiracil plus bevacizumab (tasbev) in real-world practice. ,SUNLIGHT,neutral
#gi23 congratulations to zav wainberg from ucla for a strong presentation of the results of the napoli-3 trial treatment with nalirifox resulted in an improved mos and mpfs compared to treatment with gem-nab-pac what are your thoughts on these results ,Napoli 3,neutral
day 2 #gi23 highlights #communityoncology 1. #source: adj tace+sorafenib in hcc (press release for #imbrave050) 2. #rtog1112: sbrt + sorafenib in hcc 3. #napoli3: liposomal irinotecan in 1l pancreatic cancer #onced #meded #oncology #gism,Imbrave050,neutral
day 2 #gi23 highlights #communityoncology 1. #source: adj tace+sorafenib in hcc (press release for #imbrave050) 2. #rtog1112: sbrt + sorafenib in hcc 3. #napoli3: liposomal irinotecan in 1l pancreatic cancer #onced #meded #oncology #gism,rtog-1112,neutral
day 2 #gi23 highlights #communityoncology 1. #source: adj tace+sorafenib in hcc (press release for #imbrave050) 2. #rtog1112: sbrt + sorafenib in hcc 3. #napoli3: liposomal irinotecan in 1l pancreatic cancer #onced #meded #oncology #gism,NAPOLI 3,neutral
the amazing putting results from napoli-3 and rtog 1112 in context for all of us at #gi23 (photo cred: ) ,Napoli 3,positive
the amazing putting results from napoli-3 and rtog 1112 in context for all of us at #gi23 (photo cred: ) ,RTOG-1112,positive
" nalirifox vs nab-paclitaxel + gemcitabine in 1l #pdac
@ asco-gi 2023 napoli-3 phs-iii, 770 pts mos 11.2 vs 9.2 mo mpfs 7.4 vs 5.6 mo orr 41 vs 36% more gi tox for nalirifox 50% subs. therapies meaningful benefit for the triplet ",Napoli 3,positive
 napoli-3 nalirifox better than gem and nab-p in 1l tx for metastatic #pancreaticcancer mos of 11.1 vs 9.2 mo. hr 0.83. p=0.04 (+) p3 trial. point good tolerance with less oxali 60 and naliri 50 and still better than gn #gi23 will this replace folfirinox? ,nalirifox,positive
"#gi23 napoli-3: nalirifox vs nab-paclitaxel in mpdac
met eps of os and pfs wondering - how do we select between folfirinox and nalirifox in 1st line treatment for pts with pdac? hope the discussant helps us figure this out! ",Napoli 3,neutral
napoli 3 trial is positive. #gi23 ,NAPOLI 3,positive
statistically significant mos improvement of nalirifox vs. ga in front line therapy for patients with #pancreaticcancer #gi23 ,nalirifox,positive
the answer to napoli-3 is trending on twitter. #gi23 ,napoli-3,neutral
" now clear that 1l triplet in apdac better than doublet but which triplet? napoli3 v accord comparison from discussant is helpful no clear meaningful differences maybe neuro w/ oxali @ 60 but diarrhea agree that folfirinox remains standard
#gi23 #pcsm ",napoli3,neutral
" now clear that 1l triplet in apdac better than doublet but which triplet? napoli3 v accord comparison from discussant is helpful no clear meaningful differences maybe neuro w/ oxali @ 60 but diarrhea agree that folfirinox remains standard
#gi23 #pcsm ",accord,neutral
" now clear that 1l triplet in apdac better than doublet but which triplet? napoli3 v accord comparison from discussant is helpful no clear meaningful differences maybe neuro w/ oxali @ 60 but diarrhea agree that folfirinox remains standard
#gi23 #pcsm ",folfirinox,positive
"re #ascogi23 #gi23 napoli-3 trial, the control arm is not ideal. for pts with good ps in our routine practice, we offer ffx not gem-abraxane. is napoli-3 better than ffx? that d have been a more relevant question.",napoli-3,negative
#napoli3 dr. wainberg in #1l metastatic #pdac nalirifox shows median os benefit over gem/abrax 11.1 vs 9.2 mos w/orr 41.8 vs 36.2%. new reference regiment in 1l met #pancsm #gi23 ,nalirifox,positive
#napoli3 dr. wainberg in #1l metastatic #pdac nalirifox shows median os benefit over gem/abrax 11.1 vs 9.2 mos w/orr 41.8 vs 36.2%. new reference regiment in 1l met #pancsm #gi23 ,gem/abrax,negative
"liposomal irinotecan, 5-fluorouracil/leucovorin and oxaliplatin (nalirifox) triplet improve survival in advanced pancreatic cancer - napoli-3 ",napoli-3,positive
"liposomal irinotecan, 5-fluorouracil/leucovorin and oxaliplatin (nalirifox) triplet improve survival in advanced pancreatic cancer - napoli-3 ",triplet,positive
dr. goff discussant on Napoli 3 more diarrhea but less neuropathy likely owing to lower dose of oxali with #nalirifox vs #folfirinox. remarkably similar os but also reinforces that triplet may be superior to gem/abraxane in met #pdac #pancsm #gi23 ,Napoli 3,negative
napoli3 . nalirifox . new soc for advanced padc ? . new fox in town ? improved pfs and os both. #ascogi23 #gi23 ,napoli3,neutral
napoli3 . nalirifox . new soc for advanced padc ? . new fox in town ? improved pfs and os both. #ascogi23 #gi23 ,nalirifox,neutral
in the napoli-3 readout nalirifox outperforms gemcitabine/nab-paclitaxel in treatment-naive mpdac but still sobering to see an mos &lt; 1 year #pancsm #gi23 ,napoli-3,positive
in the napoli-3 readout nalirifox outperforms gemcitabine/nab-paclitaxel in treatment-naive mpdac but still sobering to see an mos &lt; 1 year #pancsm #gi23 ,nalirifox,positive
in the napoli-3 readout nalirifox outperforms gemcitabine/nab-paclitaxel in treatment-naive mpdac but still sobering to see an mos &lt; 1 year #pancsm #gi23 ,gemcitabine/nab-paclitaxel,neutral
#gi23: napoli-3 of folfox + liposomal irinotecan (nalirifox) vs gem/abraxane with os and pfs. #asco23 #cancer #cancerresearch #clinicaltrials #pancreaticcancer #pancreas ,napoli-3,neutral
should all 1st line mpdac studies with novel agent use mfolfirinox as backbone after napoli 3? is it ethical to give 1st line gem/abraxane to fit patients with mpdac? #gi23,napoli 3,positive
should all 1st line mpdac studies with novel agent use mfolfirinox as backbone after napoli 3? is it ethical to give 1st line gem/abraxane to fit patients with mpdac? #gi23,gem/abraxane,negative
"lots of chatter on the #gi23 twittersphere about whether or not napoli-3 results truly represent a new standard-of-care vs. another option. i may have missed details, but in the era of #financialtoxicity of cancer care, what is the $ cost of this regimen vs. that of folfirinox?",napoli-3,neutral
"napoli-3 (2023):
nalirifox median os ~11 months
gem/nab-paclitaxel ~9 months prodige 4 (2011) folfirinox ~11 months mpact (2013)
gem/nab-paclitaxel 8.5 months was hoping for better but grateful for a positive phase 3 in #pancreaticcancer #gi23",napoli-3,neutral
"napoli-3 (2023):
nalirifox median os ~11 months
gem/nab-paclitaxel ~9 months prodige 4 (2011) folfirinox ~11 months mpact (2013)
gem/nab-paclitaxel 8.5 months was hoping for better but grateful for a positive phase 3 in #pancreaticcancer #gi23",gem/nab-paclitaxel,neutral
"today at #gi23 data presented from the phase iii napoli 3 trial, evaluating the nalirifox regimen showed positive results in overall survival for patients with previously untreated metastatic #pancreaticcancer. learn more ",napoli 3,neutral
results of napoli 3 examining nalirifox in 1st line met pancreatic cancer #gi23 ,napoli 3,neutral
what s the logic behind including liposomal irinotecan? do we think of nalirifox as just an improvement of folfirinox? #gi23 ,irinotecan,neutral
what s the logic behind including liposomal irinotecan? do we think of nalirifox as just an improvement of folfirinox? #gi23 ,nalirifox,neutral
what s the logic behind including liposomal irinotecan? do we think of nalirifox as just an improvement of folfirinox? #gi23 ,folfirinox,neutral
napoli trial positive for metastatic pancreatic cancer in first line setting. less chemo dose but similar efficacy to folfirinox. a new standard of care. #ascogi23 #pancreaticcancer ,napoli,positive
great to see the results from the napoli-3 clinical trial! another potential regimen for metastatic pancreatic cancer. if only liposomal irinotecan was available in canada! #pancreaticcancer #ascogi23 ,napoli-3,neutral
"#gi23 and, ga napoli3 underperformed compared to modern trials of ga (control arms) halo-301 (11.5 mos) ga + ibrutinib (10.8 mos) laura goff was the discussant and presented folfirinox and nalirifox side by side can you actually see any difference? ",napoli3,negative
"#gi23 and, ga napoli3 underperformed compared to modern trials of ga (control arms) halo-301 (11.5 mos) ga + ibrutinib (10.8 mos) laura goff was the discussant and presented folfirinox and nalirifox side by side can you actually see any difference? ",folfirinox,neutral
"#gi23 and, ga napoli3 underperformed compared to modern trials of ga (control arms) halo-301 (11.5 mos) ga + ibrutinib (10.8 mos) laura goff was the discussant and presented folfirinox and nalirifox side by side can you actually see any difference? ",nalirifox,neutral
"Napoli-3 definitely has more gi toxicities with nalirifox could this be related to the mechanism of nal-iri, and longer exposure to sn38 myelosuppression was greater with ga but, would this be true with every other week ga?",Napoli-3,negative
"Napoli 3 ,nalirifox should become the new soc for pdac. control arm was gemnab and showed a significant improvement! unfortunately, we re still below 12m mos #gi23 ",Napoli 3,positive
the #oncoalerttoptweet day2 of #gi23 tweet napoli-3 #nalirifox better than gem and nab-p in 1l tx for metastatic #pancreaticcancer mos of 11.1 vs 9.2 mo. hr 0.83. p=0.04 (+) p3 trial. point good tolerance with less oxali 60 &amp; naliri 50 ,napoli-3,positive
"Napoli 3 finally clear with data that fit patients with #pancreaticcancer need triplet chemo. Nalirifox gem abraxane. is, would folfirinox do the same? #gi23 ",Napoli 3,neutral
"on the ground results from napoli-3, co-authored by vhio s , show 1st line nalirifox improved overall survival vs. standard therapy in treatment-na ve patients with mpdac. ",napoli-3,positive
pancreasca is among the top causes of cancer death in usa and current 1st line therapy for advanced metastatic folfirinox. at #gi23 the napoli-3 study demonstrated that use of liposomal irinotecan + 5fu + oxaliplatin offered similar os #pancreascancer ,napoli-3,neutral
much anticipated data from study napoli-3 showing survival benefit with nalirifox in #pancreaticcancer . interestingly mos of 11.1m is equal to mos of prodige study with folfirinox. rates of g3/4 diarrhea higher with onivyde regimen than reported with ffx. #gi23 ,napoli-3,positive
much anticipated data from study napoli-3 showing survival benefit with nalirifox in #pancreaticcancer . interestingly mos of 11.1m is equal to mos of prodige study with folfirinox. rates of g3/4 diarrhea higher with onivyde regimen than reported with ffx. #gi23 ,nalirifox,positive
much anticipated data from study napoli-3 showing survival benefit with nalirifox in #pancreaticcancer . interestingly mos of 11.1m is equal to mos of prodige study with folfirinox. rates of g3/4 diarrhea higher with onivyde regimen than reported with ffx. #gi23 ,folfirinox,neutral
"critical multi-institutional investigator initiated the study Napoli 3 and now that we have survival results in 1l mpdac. nearing enrollment completion. results soon!!! nct03483038
#gi23
#pancsm
#pancreaticcancer ",Napoli 3,positive
now is up to put Napoli 3 and RTOG-1112 into context #gi23 ,Napoli 3,neutral
now is up to put Napoli 3 and RTOG-1112 into context #gi23 ,RTOG-1112,neutral
"the #oncoalerttoptweet day2 of #gi23 tweet Napoli 3 dr. wainberg in #1l metastatic #pdac #nalirifox shows median os benefit over gem/abrax 11.1 vs 9.2 mos w/orr 41.8 vs 36.2%. new reference regiment in 1l met #pancsm best, ",Napoli 3,positive
"the napoli 3 study, presented by dr. zev wainberg, meets its primary endpoint of improved os for nalirifox vs. gem-abrax in 1l metastatic pancreatic cancer. #gi23 ",napoli 3,positive
"the napoli 3 study, presented by dr. zev wainberg, meets its primary endpoint of improved os for nalirifox vs. gem-abrax in 1l metastatic pancreatic cancer. #gi23 ",nalirifox,positive
"the napoli 3 study, presented by dr. zev wainberg, meets its primary endpoint of improved os for nalirifox vs. gem-abrax in 1l metastatic pancreatic cancer. #gi23 ",gem-abrax,positive
 adding these to highlight substantially more gi toxicity in NAPOLI 3 with nalirifox than gem-nabpaclitaxel. ,NAPOLI 3,negative
 adding these to highlight substantially more gi toxicity in NAPOLI 3 with nalirifox than gem-nabpaclitaxel. ,nalirifox,negative
 adding these to highlight substantially more gi toxicity in NAPOLI 3 with nalirifox than gem-nabpaclitaxel. ,gem-nabpaclitaxel,positive
napoli 3 shows improvement in os and pfs. special thank you to univ of rochester patients who participated in the trial. ,napoli 3,positive
day 2 of #gi23! Napoli 3 showing survival for met panc cancer using nalifirox (11.1 mos) discussed by my friend . another option in an area of immense need! ,Napoli 3,positive
at gi23 we spoke to zev wainberg of who shared results from Napoli 3 trial evaluating nalirifox vs. gemcitabine in mpdac catch the full video soon on #gism #gastrointestinalcancer #pancreaticcancer #pancsm ,Napoli 3,neutral
at gi23 we spoke to zev wainberg of who shared results from Napoli 3 trial evaluating nalirifox vs. gemcitabine in mpdac catch the full video soon on #gism #gastrointestinalcancer #pancreaticcancer #pancsm ,nalirifox,neutral
at gi23 we spoke to zev wainberg of who shared results from Napoli 3 trial evaluating nalirifox vs. gemcitabine in mpdac catch the full video soon on #gism #gastrointestinalcancer #pancreaticcancer #pancsm ,gemcitabine,neutral
nalirifox vs folferinox. do we have new soc for them as we need a new sequence of operation ? #ascogi23 #gi23 ,nalirifox,neutral
nalirifox vs folferinox. do we have new soc for them as we need a new sequence of operation ? #ascogi23 #gi23 ,folferinox,neutral
Napoli 3 - the closest we will get to a folfirinox vs. abraxane with abraxane outperforming folfirinox,Napoli 3,neutral
Napoli 3 - the closest we will get to a folfirinox vs. abraxane with abraxane outperforming folfirinox,folfirinox,negative
Napoli 3 - the closest we will get to a folfirinox vs. abraxane with abraxane outperforming folfirinox,abraxane,positive
frontline liposomal irinotecan / nalirifox in the study NAPOLI 3 elicits os benefit in metastatic pancreatic ductal adenocarcinoma #gi23 #oncology ,NAPOLI 3,positive
frontline liposomal irinotecan / nalirifox in the study NAPOLI 3 elicits os benefit in metastatic pancreatic ductal adenocarcinoma #gi23 #oncology ,irinotecan,positive
frontline liposomal irinotecan / nalirifox in the study NAPOLI 3 elicits os benefit in metastatic pancreatic ductal adenocarcinoma #gi23 #oncology ,nalirifox,positive
" the #oncoalerttoptweet day2 of #gi23 tweet Napoli 3 trial treatment with nalirifox resulted in an improved mos and mpfs compared to treatment with gemnabpac best, ",Napoli 3,positive
" the #oncoalerttoptweet day2 of #gi23 tweet Napoli 3 trial treatment with nalirifox resulted in an improved mos and mpfs compared to treatment with gemnabpac best, ",nalirifox,positive
" the #oncoalerttoptweet day2 of #gi23 tweet Napoli 3 trial treatment with nalirifox resulted in an improved mos and mpfs compared to treatment with gemnabpac best, ",gemnabpac,negative
" i agree. frustrating having to call os hr 0.85 a ""progress"". ipsen $ipn presents phase iii Napoli 3 trial of onivyde regimen demonstrating positive survival results in previously untreated metastatic pancreatic ductal adenocarcinoma at #ascogi23 ",Napoli 3,positive
