Study_Mentioned,Product_Mentioned,Company_Mentioned,Indication_Mentioned,CAR-T,Pan_Tumor,Non-Social,Adjusted_Date,Tweet_Date,Tweet_Year,Conversation_Id,Tweet_Id,Congress,Therapeutic_Area,Tweet,Mentions,Hashtags,Retweet_Count,Reply_Count,Like_Count,Engagement,Quote_Count,Author_Id,Username,Name,Followers_Count,Following_Count,Profile_Bio,Location,Joined_at,Verified,User_Class,User_Type
Not Tagged,ibrutinib,abbvie;janssen,Not Tagged,0,0,1,2022-06-03 12:28:04,6/3/2022,2022,1532776144029687809,1532776144029687809,ASCO,"Oncology, Hematology","#ASCO22: Imbruvica keeps aggressive blood cancer at bay for 6+ years, but misses the mark in overall survival https://t.co/yuYwcCBJQl #strategy #competitiveintelligence #marketing #pharmaceutical #productmarketing #pharma #healthcare #biotech https://t.co/U8irzv5TNb",Nan,"ASCO22, strategy, competitiveintelligence, marketing, pharmaceutical, productmarketing, pharma, healthcare, biotech",1,0,1,2,0,133504478,_timos_,Dr Timos Papagatsias,3473,3840,Strategy & Competitive Marketing | Digital & Social Pharma | Life Sciences Investment | Cell & Gene Therapy | Vaccines,Global,2010-04-16,FALSE,Individual,Finance / Investment
Not Tagged,ibrutinib,abbvie;janssen,Not Tagged,0,0,1,2022-06-03 15:49:27,6/3/2022,2022,1532826823096250370,1532826823096250370,ASCO,"Oncology, Hematology","J&amp;J and AbbVie popped the cork on some preliminary data at #ASCO22 showing Imbruvica kept a rare and aggressive form of cancer at bay in combination with two other drugs for more than six years. But will overall survival data crash the party?

https://t.co/KFdAqhDNi1",Nan,ASCO22,1,0,1,2,0,3660065115,Nicole_DeFeudis,Nicole DeFeudis,1891,2313,"Biopharma reporter @endpts | Previously @LowellSun, @BostonGlobeMag, @DailyHampGaz, @telegramdotcom | @UMassAmherst grad | nicole@endpointsnews.com",Massachusetts,2015-09-15,FALSE,Individual,Media / News
Not Tagged,ibrutinib,abbvie;janssen,Not Tagged,0,0,1,2022-06-04 11:45:20,6/4/2022,2022,1533127775787397121,1533127775787397121,ASCO,"Oncology, Hematology",#ASCO22 and $JNJ with #imbruvica no more lunar theme? https://t.co/3lJGEqInL4,Nan,"ASCO22, imbruvica",1,0,2,3,0,49415766,nycdoc29,NYCDoc29,737,450,"ASCO, ASH, EHA & ESMO Member - fr FT academic, traveller, foodie & now private practice! #girdad #boydad #hematology #oncology","Garden City, NY",2009-06-21,FALSE,Individual,HCP
Not Tagged,ibrutinib,abbvie;janssen,Not Tagged,0,0,1,2022-06-03 05:00:00,6/3/2022,2022,1532663382473687040,1532663382473687040,ASCO,"Oncology, Hematology",Explore IMBRUVICA® Find us at #ASCO22 booth #14099. Click here for Important Safety Information: https://t.co/7UM8MOdHo1 and here for full Prescribing Information: https://t.co/6r3wcxyyvM.,Nan,ASCO22,3,0,18,21,0,1197257658094510090,IMBRUVICAUSHCP,IMBRUVICA® (ibrutinib) for US HCP,278,0,"Please see full Prescribing Information here: https://t.co/zJOY8eGABA
Please see full Important Safety Information here: https://t.co/36tRNbbnkW
2/22 PRC-08915",Click for prescribing info,2019-11-20,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,ibrutinib,abbvie;janssen,Not Tagged,0,0,1,2022-06-03 05:00:00,6/3/2022,2022,1532663382075056131,1532663382075056131,ASCO,"Oncology, Hematology",Explore IMBRUVICA® Find us at #ASCO22 booth #14099. Click here for Important Safety Information: https://t.co/7UM8MNVy9T and here for full Prescribing Information: https://t.co/6r3wcxgphE.,Nan,ASCO22,0,0,0,0,0,1197257658094510090,IMBRUVICAUSHCP,IMBRUVICA® (ibrutinib) for US HCP,278,0,"Please see full Prescribing Information here: https://t.co/zJOY8eGABA
Please see full Important Safety Information here: https://t.co/36tRNbbnkW
2/22 PRC-08915",Click for prescribing info,2019-11-20,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,ibrutinib,abbvie;janssen,Not Tagged,0,0,1,2022-06-03 05:00:00,6/3/2022,2022,1532663381294866432,1532663381294866432,ASCO,"Oncology, Hematology",Explore IMBRUVICA® Find us at #ASCO22 booth #14099. Click here for Important Safety Information: https://t.co/7UM8MOdHo1 and here for full Prescribing Information: https://t.co/6r3wcxyyvM.,Nan,ASCO22,0,0,0,0,0,1197257658094510090,IMBRUVICAUSHCP,IMBRUVICA® (ibrutinib) for US HCP,278,0,"Please see full Prescribing Information here: https://t.co/zJOY8eGABA
Please see full Important Safety Information here: https://t.co/36tRNbbnkW
2/22 PRC-08915",Click for prescribing info,2019-11-20,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-13 07:55:44,4/13/2022,2022,1514225827403247617,1514225827403247617,AACR,"Oncology, Hematology","The only reason I came back a day early from #AACR22. 
Happy birthday to @allergyism_101 
?????? https://t.co/bBeCfpa19g",allergyism_101,AACR22,1,32,357,390,1,166816694,Aiims1742,Anirban Maitra,18547,807,Pancreatic cancer researcher and GI pathologist. Striving to improve the lives of patients with cancer.,"Texas, USA",2010-07-15,TRUE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-11 08:30:31,4/11/2022,2022,1513509802823098368,1513509802823098368,AACR,"Oncology, Hematology","Honored to receive the @AACR Global Scholar-in-Training Award (GSITA) at the #AACR22 Annual Meeting. Grateful for mentors and friends in the way

#ProudtobeGIM #MedEd #IMProud #FutureMedRes #Disparities #SurvOnc #GlobOnc #IMG #lymSM #bcsm @tmprowell @GlopesMd @UNMSM_ @IMG_stories https://t.co/uityXOeHA6","AACR, tmprowell, GlopesMd, UNMSM","AACR22, ProudtobeGIM, MedEd, IMProud, FutureMedRes, Disparities, SurvOnc, GlobOnc, IMG, lymSM, bcsm",32,20,261,313,5,919994318336733185,AndreaAnampaG,Andrea Anampa-Guzmán (she/ella),3201,3812,"Research @RoswellPark ?? Medstudent @UNMSM_ with OCD ???? @TheDEIShift, @CPsolvers & @HemOncFellows team • @ASCO Social Media
#MedEd #GlobOnc #SurvOnc #LymSM","Buffalo, NY",2017-10-16,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-13 10:26:30,4/13/2022,2022,1514263765595963395,1514263765595963395,AACR,"Oncology, Hematology","Quote of the week at #AACR22: ""It's so good to be here in vivo, not just in silico""",Nan,AACR22,41,3,252,296,6,3762787581,Ch_Hops,Caroline Hopkins,1133,2921,"Health & science journalist ???Biopharma reporter @PrecOncNews @GenomeWeb?Past: @ASCO, @ColumbiaJourn?I cover cancer treatment??, genomics??, + sometimes ??s","Brooklyn, NY",2015-09-24,FALSE,Bot / Aggregator,Media / News
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 12:55:01,4/9/2022,2022,1512851591392546825,1512851591392546825,AACR,"Oncology, Hematology","Inflammatory breast cancer is a rare and aggressive form of breast cancer.

We’re proud to have a research program exclusively focused on developing biomarkers and personalized targeted therapies for this disease: https://t.co/YDTWR7uofI @cbartholomeusz1 #AACR22 #EndCancer",cbartholomeusz1,"AACR22, EndCancer",45,5,231,281,6,14062554,MDAndersonNews,MD Anderson Cancer Center,123648,4324,"The official account of MD Anderson Cancer Center, a leader in cancer care, cancer research and the fight to #EndCancer. Appointments available: 1-877-632-6789.","Houston, TX",2008-02-29,TRUE,Company / Organization,Hospital / Clinic
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 22:29:31,4/9/2022,2022,1512996167809908748,1512996167809908748,AACR,"Oncology, Hematology",I'm honored to give this year's AACR-Irving Weinstein Foundation Distinguished Lecture at the annual meeting of The American Association for Cancer Research.  #AACR2022  @YaleCancer #Yale https://t.co/D3GVOC0Uiz,YaleCancer,"AACR2022, Yale",15,7,252,274,1,854770880190312448,CraigMCrews,Craig Crews,6198,1151,"Yale Professor, Founder of @ArvinasInc, https://t.co/IsAx36uEnJ","New Haven, CT",2017-04-19,FALSE,Company / Organization,Pharma / Biotech
CROWN,Lorlatinib;Crizotinib,Pfizer,Not Tagged,0,0,1,2022-04-13 10:16:17,4/13/2022,2022,1514261196534394889,1514261196534394889,AACR,"Oncology, Hematology",The 3 year PFS curve for the lorlatinib vs crizotinib phase 3 (CROWN) trial in ALK+ NSCLC is impressive! #AACR22 #Lcsm https://t.co/IdsFNmc0aG,Nan,"AACR22, Lcsm",59,9,197,265,2,205280101,n8pennell,"Nathan A. Pennell MD, PhD, FASCO",12120,1020,"Professor and thoracic oncologist @CleClinicMD, TCI Vice Chair Clinical Research, @ASCO #EdBook Assoc Editor, Dad, Steelers fan. All opinions mine. #LCSM","Cleveland, OH",2010-10-20,TRUE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-10 08:25:47,4/10/2022,2022,1513146225402552320,1513146225402552320,AACR,"Oncology, Hematology",Waiting for ?@Delta? for flight to #NOLA with Tyler Jacks and ?@JimAllisonPhD?. Hopefully will be less harrowing than experience by ?@CharlesSawyers? and ??@SohrabShah? ?? Looking forward to seeing everyone IRL @AACR! #AACR22 https://t.co/m1aACYQdEa,"Delta, JimAllisonPhD, CharlesSawyers, SohrabShah, AACR","NOLA, LCSM",7,5,234,246,0,1503492080949153796,PamSharmaMDPhD,"Padmanee (Pam) Sharma, MD, PhD",2998,42,Immunologist. Oncologist. Mom. Wife to @JimAllisonPhD. Founder @TentAbrahams. Professor @MDAndersonNews.,,2022-03-14,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-10 06:50:07,4/10/2022,2022,1513122147476156422,1513122147476156422,AACR,"Oncology, Hematology",A jump in the past last night with half of the Scaltriti Lab at this table. All doing very well and more determined than ever. This is what pride looks like. #AACR22 ?@OncoAlert? https://t.co/vFy6rn9Npd,OncoAlert,AACR22,5,14,224,243,0,1112334477261504513,ScaltritiLab,Maurizio Scaltriti,18469,371,"VP Translational Medicine, Early Oncology, AstraZeneca. Former Associate Director of Translational Science at MSKCC. Co-founder of https://t.co/sf253X5XeB.","New York, NY",2019-03-31,FALSE,Company / Organization,Pharma / Biotech
